id,title,first_name,last_name,suffix,party,municipality,role
121502,Mw.,T.G.,Hoekstra,,SP,Gemeente Noordoostpolder,Fractievoorzitter
132223,Dhr.,P.F.,Ritzema,,CDA,Gemeente Winsum,Fractievoorzitter
131711,Dhr.,R.M.,Prummel,,D66,Gemeente Winsum,Fractievoorzitter
20742354,Dhr.,A.A.M.,Bruininks,,GroenLinks,Gemeente Winsum,Fractievoorzitter
92275,Dhr.,H.T.,Jonkman,,VVD,Gemeente Winsum,Fractievoorzitter
75861,Dhr.,A.P.,Witkam,,PvdA,Gemeente Borsele,Fractievoorzitter
120353,Mw.,V.J.H.M.,Zeeman,,Best Open,Gemeente Best,Fractievoorzitter
115392,Dhr.,B.P.J.,Molling,,Partij Groot Meerssen,Gemeente Meerssen,Fractievoorzitter
118120,Dhr.,E.,van Marle,,D66,Gemeente Enkhuizen,Fractievoorzitter
75957,Dhr.,J.D.,Rietberg,,CDA,Gemeente Landsmeer,Fractievoorzitter
124798,Dhr.,A.J.,Romar,,CDA,Gemeente Terschelling,Fractievoorzitter
133270,Dhr.,C.T.,Lugt,,VVD,Gemeente Terschelling,Fractievoorzitter
124378,Dhr.,H.B.,van den Berg,,Borne-Nu,Gemeente Borne,Fractievoorzitter
113981,Dhr.,A.H.,Oldenbeuving,,CDA,Gemeente Emmen,Fractievoorzitter
124320,Dhr.,A.M.M.,Weijers,,Uitgeest Lokaal,Gemeente Uitgeest,Fractievoorzitter
134438,Mw. drs.,H.J.,Veneklaas,,CDA,Gemeente Stichtse Vecht,Fractievoorzitter
128157,Dhr.,H,van der Velde,,PvdA,Gemeente Breda,Fractievoorzitter
115463,Dhr.,J.,de Kruijk,,PvdA,Gemeente Molenwaard,Fractievoorzitter
125798,Dhr.,G.M.E.,Gerards,,BCD,Gemeente Brunssum,Fractievoorzitter
130457,Mw.,C.T.H.,Vissers-Martens,,PvdA,Gemeente Eijsden-Margraten,Fractievoorzitter
129423,Mw.,H.A.C.,Koene,,GroenLinks,Gemeente Eijsden-Margraten,Fractievoorzitter
127305,Dhr.,W.H.J.,Dreessen,,Samenwerkingsverband Margraten (SVM),Gemeente Eijsden-Margraten,Fractievoorzitter
128390,Dhr.,J.,van de Ven,,CDA,Gemeente Oirschot,Fractievoorzitter
123777,Mw.,T.,Cichy-van Gessel,,SP,Gemeente Oirschot,Fractievoorzitter
