"Address","Status Code","Status","Naam","gemeente 1","partij-abbr 1","functie 1"
"https://almanak.overheid.nl/125993/Dhr_L_Maat/",200,"OK","Dhr. L. Maat","Gemeente Wassenaar","GroenLinks","Wethouder"
"https://almanak.overheid.nl/31284/Dhr_JH_Blankenberg/",200,"OK","Dhr. J.H. Blankenberg","Gemeente Krimpen aan den IJssel","PvdA","Wethouder"
"https://almanak.overheid.nl/129291/Dhr_dr_MGM_van_der__Poel/",200,"OK","Dhr. dr. M.G.M. van der  Poel","Gemeente Heusden","Heusden E&eacute;n","Wethouder"
"https://almanak.overheid.nl/126220/Dhr_CA_Oosterwijk/",200,"OK","Dhr. C.A Oosterwijk","Gemeente Krimpen aan den IJssel","SGP","Wethouder"
"https://almanak.overheid.nl/129292/Mw_drs_M_Mulder/",200,"OK","Mw. drs. M. Mulder","Gemeente Heusden","PvdA","Wethouder"
"https://almanak.overheid.nl/82284/Dhr_CAM_van_Bokhoven/",200,"OK","Dhr. C.A.M. van Bokhoven","Gemeente Heusden","DMP","Wethouder"
"https://almanak.overheid.nl/127394/Dhr_drs_AJ_de_Leeuw/",200,"OK","Dhr. drs. A.J. de Leeuw","Gemeente Krimpen aan den IJssel","CDA","Wethouder"
"https://almanak.overheid.nl/82285/Dhr_WA_van_Engeland/",200,"OK","Dhr. W.A. van Engeland","Gemeente Heusden","Gemeentebelangen","Wethouder"
"https://almanak.overheid.nl/22666595/Mw_SM_Munnikendam/",200,"OK","Mw. S.M. Munnikendam","Gemeente Zaanstad","D66","Wethouder"
"https://almanak.overheid.nl/127689/Dhr_L_van_Rekom/",200,"OK","Dhr. L. van Rekom","Gemeente Sliedrecht","VVD","Wethouder"
"https://almanak.overheid.nl/124133/Dhr_H_van_Lith/",200,"OK","Dhr. H. van Lith","Gemeente Hellevoetsluis","IBH","Wethouder"
"https://almanak.overheid.nl/134912/Dhr_J_van_Wolfswinkel/",200,"OK","Dhr. J. van Wolfswinkel","Gemeente Barendrecht","SGP/CU","Wethouder"
"https://almanak.overheid.nl/124874/Mw_WP_van_Burgsteden/",200,"OK","Mw. W.P. van Burgsteden","Gemeente Arnhem","CDA","Wethouder"
"https://almanak.overheid.nl/88228/Dhr_MAR_Leisink/",200,"OK","Dhr. M.A.R. Leisink","Gemeente Arnhem","D66","Wethouder"
"https://almanak.overheid.nl/134748/Dhr_G_Ritsema/",200,"OK","Dhr. G. Ritsema","Gemeente Arnhem","SP","Wethouder"
"https://almanak.overheid.nl/84713/Dhr_GE_Elfrink/",200,"OK","Dhr. G.E. Elfrink","Gemeente Arnhem","SP","Wethouder"
"https://almanak.overheid.nl/131183/Dhr_R_Konig/",200,"OK","Dhr. R. K&ouml;nig","Gemeente Arnhem","D66","Wethouder"
"https://almanak.overheid.nl/131434/Dhr_MGJ_van_der_Putten/",200,"OK","Dhr. M.G.J. van der Putten","Gemeente Venray","D66","Wethouder"
"https://almanak.overheid.nl/126355/Dhr_AP_van_Huissteden/",200,"OK","Dhr. A.P. van Huissteden","Gemeente Bergen NH","PvdA","Wethouder"
"https://almanak.overheid.nl/135283/Dhr_HJ_Snabilie/",200,"OK","Dhr. H.J. Snabilie","Gemeente Bergen NH","KIES Lokaal","Wethouder"
"https://almanak.overheid.nl/126596/Mw_O_Rasch/",200,"OK","Mw. O. Rasch","Gemeente Bergen NH","D66","Wethouder"
"https://almanak.overheid.nl/21300607/Dhr_P_Pot/",200,"OK","Dhr. P. Pot","Gemeente Ameland","AMELAND'82","Wethouder"
"https://almanak.overheid.nl/54591/Dhr_P_Teeninga/",200,"OK","Dhr. P. Teeninga","Gemeente Harderwijk","ChristenUnie","Wethouder"
"https://almanak.overheid.nl/95886/Dhr_PF_de_Groene/",200,"OK","Dhr. P.F. de Groene","Gemeente Stichtse Vecht","D66","Wethouder"
