system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role
1021434,,J.C.,Joost Caspar,Joost,Sneller,,D66,,,
452180,dr.,B.A.W.,Bartholomeus Adrianus Wilhelmus,Bart,Snels,,GL,,,
288615,mr.,C.G.,Cornelis Gerrit,Kees,van der Staaij,,SGP,,,
218203,,O.C.,Ockje Caroline,Ockje,Tellegen,,VVD,,,
251470,mr.,M.L.,Marianne Louise,Marianne,Thieme,,PvdD,,,
548103,,J.Z.C.M.,Judith Zsuzsanna Cornélie Maria,Judith,Tielen,,VVD,,,
160161,drs.,L.,Liesbeth,Liesbeth,van Tongeren,,GL,,,
61227,dr. mr.,M.M.,Madeleine Melisande,Madeleine,van Toorenburg,,CDA,,,
583940,drs.,H.S.,Habbo Siebold,Hayke,Veldman,,VVD,,,
504337,,K.,Kees,Kees,Verhoeven,,D66,,,
68377,drs.,J.S.,Joël Stephanus,Joël,Voordewind,,CU,,,
203382,,L.G.J.,Linda Geertruida Johanna,Linda,Voortman,,GL,,,
100020,,A.,Aukje,Aukje,de Vries,,VVD,,,
196204,,F.P.,Frank Peter,Frank,Wassenberg,,PvdD,,,
133754,mr.,V.D.D.,Vicky Dafne Danai,Danai,van Weerdenburg,,PVV,,,
20836,,E.M.,Elisabeth Marij,Lisa,Westerveld,,GL,,,
99002,,A.,Arne,Arne,Weverling,,VVD,,,
377057,drs.,S.P.R.A.,Steven Peter Robert Albert,Steven,van Weyenberg,,D66,,,
938828,MA,A.D.,Dennis,Dennis,Wiersma,,VVD,,,
649808,,G.,Geert,Geert,Wilders,,Groep Wilders,,,
135285,,M.,Martin,Martin,Wörsdörfer,,VVD,,,
421117,,B.,Bastiaan,Bas,van 't Wout,,VVD,,,
698153,,D.,Dilan,Dilan,Yeşilgöz-Zegerius,,VVD,,,
179232,,E.,Erik,Erik,Ziengs,,VVD,,,
134414,Dhr.,R.T.A.,,,Korteland,,VVD,,Meppel,Burgemeester
127993,Mw.,S.,,,Wolvekamp-Bloemert,,CDA,,Meppel,Fractievoorzitter
127994,Dhr.,L.,,,Kunnen,,ChristenUnie,,Meppel,Fractievoorzitter
85638,Dhr.,V.,,,Veldhorst,,D66,,Meppel,Fractievoorzitter
131310,Mw.,P.,,,van Eerden-Hein,,GroenLinks,,Meppel,Fractievoorzitter
135441,Dhr.,F.,,,Hummel,,PvdA,,Meppel,Fractievoorzitter
121001,Dhr.,X.,,,Topma,,SP,,Meppel,Fractievoorzitter
135442,Mw.,E.,,,Bakkenes-Van Hese,,Sterk Meppel,,Meppel,Fractievoorzitter
127995,Dhr. drs.,F.J.,,,Perquin,,VVD,,Meppel,Fractievoorzitter
129368,Dhr.,R.P.,,,Koning,,VVD,,Meppel,Locoburgemeester
20274285,Dhr. drs.,G.J.,,,Fokkema,,,,Meppel,Raadsgriffier
120667,Dhr. ing.,E.,,,Knorren,,CDA,,Meppel,Raadslid
120668,Dhr.,J.,,,van der Woerdt,,CDA,,Meppel,Raadslid
117455,Mw.,S.,,,Wolvekamp-Bloemert,,CDA,,Meppel,Raadslid
121225,Dhr.,L.,,,Kunnen,,ChristenUnie,,Meppel,Raadslid
126497,Mw.,I.,,,Booij-van Wijk,,ChristenUnie,,Meppel,Raadslid
130191,Dhr. ir.,N.,,,Dubbelboer,,D66,,Meppel,Raadslid
85648,Dhr.,V.,,,Veldhorst,,D66,,Meppel,Raadslid
131311,Mw.,P.,,,van Eerden-Hein,,GroenLinks,,Meppel,Raadslid
121004,Dhr.,F.,,,Hummel,,PvdA,,Meppel,Raadslid
96402,Dhr.,F.,,,Schipper,,PvdA,,Meppel,Raadslid
131633,Dhr.,H.,,,Boersma,,PvdA,,Meppel,Raadslid
121006,Mw.,G.L.M.,,,Veld-Fonk,,PvdA,,Meppel,Raadslid
121007,Dhr.,X.,,,Topma,,SP,,Meppel,Raadslid
130192,Mw.,E.,,,Schut,,SP,,Meppel,Raadslid
134967,Dhr.,E.,,,Annen,,Sterk Meppel,,Meppel,Raadslid
85654,Dhr.,F.,,,Venema,,Sterk Meppel,,Meppel,Raadslid
130193,Dhr.,H.B.J.,,,Schoemaker,,Sterk Meppel,,Meppel,Raadslid
85657,Dhr.,P.,,,de Vries,,Sterk Meppel,,Meppel,Raadslid
85658,Mw.,E.,,,Bakkenes-Van Hese,,Sterk Meppel,,Meppel,Raadslid
87680,Dhr. drs.,F.J.,,,Perquin,,VVD,,Meppel,Raadslid
135443,Dhr.,R.,,,van Ulzen,,VVD,,Meppel,Raadslid
120670,Mw.,A.,,,Udinga,,VVD,,Meppel,Raadslid
85662,Mw.,M.S.,,,Grotens-Pleyte,,VVD,,Meppel,Raadslid
20274317,Mw.,I.A.,,,Schulting,,,,Meppel,Secretaris
125165,Dhr.,H.G.,,,ten Hulscher,,CDA,,Meppel,Wethouder
125166,Dhr.,G.,,,Stam,,ChristenUnie,,Meppel,Wethouder
125167,Dhr.,J.,,,de Vos,,PvdA,,Meppel,Wethouder
125168,Dhr.,R.P.,,,Koning,,VVD,,Meppel,Wethouder
99260,Mw. drs.,H.,,,Hafkamp,,GroenLinks,,Bergen NH,Burgemeester
126472,Dhr.,D.,,,Zwart,,CDA,,Bergen NH,Fractievoorzitter
126473,Dhr.,J.A.,,,Snijder,,D66,,Bergen NH,Fractievoorzitter
126474,Dhr.,C.,,,van Leijen,,Gemeentebelangen BES,,Bergen NH,Fractievoorzitter
129388,Mw.,F.C.,,,Braak-van Kasteel,,GroenLinks,,Bergen NH,Fractievoorzitter
126476,Mw.,J.L.,,,Luttik-Swart,,KIES Lokaal,,Bergen NH,Fractievoorzitter
126477,Dhr.,A.H.,,,van der Leij,,PvdA,,Bergen NH,Fractievoorzitter
126478,Dhr.,C.,,,Roem,,VVD,,Bergen NH,Fractievoorzitter
20636415,Dhr.,J.,,,Mesu,,CDA,,Bergen NH,Locoburgemeester
21087941,Dhr.,S.G.W.M.,,,Heerdink,,,,Bergen NH,Raadsgriffier
129389,Mw.,S.C.,,,Groen-Bruschke,,GroenLinks,,Bergen NH,Raadslid
89202,Dhr.,F.D.,,,Zeiler,,Gemeentebelangen BES,,Bergen NH,Raadslid
112887,Dhr.,D.,,,Zwart,,CDA,,Bergen NH,Raadslid
130042,Mw.,C.M.,,,Glas-de Raadt,,KIES Lokaal,,Bergen NH,Raadslid
